ds,yhat,yhat_lower,yhat_upper,y,cutoff
1997-07-04,7.444478840525189,6.555747613911289,8.376331440570768,7.249742,1997-07-03
1997-07-06,7.508300659618146,6.6623791299701445,8.364585279722123,7.243448,1997-07-03
1997-07-07,7.461168251656355,6.519214744583669,8.386821557080367,7.684971,1997-07-03
1997-07-08,7.595962173021556,6.656085726692915,8.510118355609672,7.678639,1997-07-03
1997-07-09,7.549231402338788,6.693960111760218,8.439201681464855,7.009588,1997-07-03
1997-07-10,7.468093535392317,6.575259288324701,8.3602464246096,7.068498,1997-07-03
1997-07-11,7.6405424201450955,6.759830070450823,8.576966145915316,6.992977,1997-07-03
1997-07-12,7.797103816055523,6.864568458862254,8.725404089141513,7.52292,1997-07-03
1997-07-13,7.810030318326266,6.888082780261644,8.691771252495645,7.225186,1997-07-03
1997-07-14,7.804640825510145,6.853893754528108,8.728728698848002,7.181481,1997-07-03
1997-07-15,7.863533958426078,6.939152184712809,8.797311136348117,7.453522,1997-07-03
1997-07-16,7.873893560837872,7.005323635299607,8.735286756681429,7.660136,1997-07-03
1997-07-17,7.970938761055013,7.0535779580439195,8.844474913610354,8.161829,1997-07-03
1997-08-01,8.060595670204938,7.210648256928867,8.925365922588627,7.930473,1997-07-31
1997-08-02,7.968935699644941,7.228135684296883,8.79117343991016,7.823395,1997-07-31
1997-08-03,7.875243875171023,7.099800506903447,8.639204515826545,7.977561,1997-07-31
1997-08-04,7.8083742450715805,7.043128732471857,8.618251327842291,8.176931,1997-07-31
1997-08-05,7.848100799824469,7.088805172676966,8.698858477507407,8.358644,1997-07-31
1997-08-06,7.710992146286608,6.8887356749202775,8.501053137462794,8.827653,1997-07-31
1997-08-07,7.794416791317438,7.004648033286472,8.641438896016963,9.047479,1997-07-31
1997-08-08,7.61951424938214,6.775506405942233,8.413569995471807,8.936785,1997-07-31
1997-08-09,7.524363057022117,6.74021270815075,8.338725200466316,8.489121,1997-07-31
1997-08-10,7.603931143006191,6.784300415919431,8.400934060626573,8.651658,1997-07-31
1997-08-11,7.353977416280191,6.532621785009477,8.112536372804863,8.353342,1997-07-31
1997-08-12,7.360935368429603,6.526868848461011,8.157922090355067,7.682255,1997-07-31
1997-08-13,7.407498928582363,6.612021839243867,8.244946911908322,7.788331,1997-07-31
1997-08-14,7.23821698285093,6.4137638776022445,8.078111301138138,8.018776,1997-07-31
1997-08-29,8.51118467199316,7.671973696822502,9.333273234799442,8.2938,1997-08-28
1997-08-30,8.59113038748829,7.746733245266874,9.404942574772441,9.019098,1997-08-28
1997-08-31,8.604896308840674,7.8515778045744895,9.431443982702879,8.641068,1997-08-28
1997-09-01,8.34516157759864,7.551983610018929,9.204667443413864,8.361063,1997-08-28
1997-09-02,8.43568672003222,7.622495011619567,9.305000847856295,8.461501,1997-08-28
1997-09-03,8.443510306167111,7.660315305469911,9.282626315195749,8.446485,1997-08-28
1997-09-04,8.607418371927404,7.776359360453969,9.468019355571187,9.128878,1997-08-28
1997-09-05,8.755406460895403,7.892850590120222,9.568477964084353,9.138703,1997-08-28
1997-09-06,8.749010496612557,7.919321629808375,9.56563231459211,9.469073,1997-08-28
1997-09-07,8.614740032596389,7.80604505829863,9.482736406583966,9.575142,1997-08-28
1997-09-08,8.564340717624763,7.7129639891390305,9.396597253102366,9.097286,1997-08-28
1997-09-09,8.631190992206054,7.779998577386075,9.43020964515942,9.008598,1997-08-28
1997-09-10,8.677408718732515,7.849736049242832,9.54893649077006,9.587526,1997-08-28
1997-09-11,8.632781238132232,7.837179328548538,9.466736506629617,9.702221,1997-08-28
1997-09-26,8.728053845478412,7.889116637854884,9.515934605249633,9.04029,1997-09-25
1997-09-27,9.069466536412856,8.27355167584055,9.87217910248579,8.754754,1997-09-25
1997-09-28,9.111896010716658,8.322225982600797,9.939609871422643,9.187431,1997-09-25
1997-09-29,8.949339479405685,8.15403881866991,9.750462360566427,9.265652,1997-09-25
1997-09-30,8.879346821983283,8.079238209972845,9.628879186755197,8.786924,1997-09-25
1997-10-01,8.686080596338691,7.889240264647574,9.522009359768116,8.907084,1997-09-25
1997-10-02,8.643407919927268,7.811878521288307,9.449102687183101,9.074681,1997-09-25
1997-10-03,8.503914971396544,7.648335054275638,9.2920436286685,8.258095,1997-09-25
1997-10-04,8.356582885107533,7.536136583028661,9.197235973119515,8.049989,1997-09-25
1997-10-05,8.267404375368296,7.388297886225791,9.169296309773024,7.512534,1997-09-25
1997-10-06,8.1697924311448,7.368685604156154,8.93252715820801,7.741645,1997-09-25
1997-10-07,8.273855398761008,7.468197571974583,9.068848518734303,7.856588,1997-09-25
1997-10-08,8.305430495536195,7.468329328973203,9.14992582436276,8.3268,1997-09-25
1997-10-09,8.430976755862932,7.667850853643101,9.257282700327277,9.255207,1997-09-25
1997-10-24,9.370696207121915,8.607676747554928,10.226634787916954,10.006163,1997-10-23
1997-10-25,9.457819963714918,8.641600423174706,10.223692714563578,10.049567,1997-10-23
1997-10-26,9.480455383685992,8.730341794507455,10.318821436318702,8.882013,1997-10-23
1997-10-27,9.512038550765975,8.715947335404177,10.35055836216247,8.609326,1997-10-23
1997-10-28,9.736340968871238,8.942207875824066,10.542433069014683,8.090751,1997-10-23
1997-10-29,9.685463225711478,8.918222539965335,10.481338056621784,8.49463,1997-10-23
1997-10-30,9.639312187310221,8.830930356935637,10.428834729930283,8.862882,1997-10-23
1997-10-31,9.714010282224441,8.90499088291919,10.539400828547372,8.749641,1997-10-23
1997-11-01,9.557778302131558,8.738409540081998,10.369647487765233,8.739068,1997-10-23
1997-11-02,9.507278822624889,8.727507492861225,10.307720626932486,8.364621,1997-10-23
1997-11-03,9.420156568468244,8.647486737878326,10.18085564763023,8.344234,1997-10-23
1997-11-04,9.46202846295876,8.685425328269345,10.279749466595996,8.912081,1997-10-23
1997-11-05,9.268383178419935,8.448779129015293,10.07219588398595,9.127317,1997-10-23
1997-11-06,9.143764846720858,8.305093480993424,9.937488257130155,9.588053,1997-10-23
1997-11-21,8.568627635507267,7.710407147319091,9.472693987940449,7.799309,1997-11-20
1997-11-23,8.277313291238919,7.317283690118702,9.208858162293467,7.878647,1997-11-20
1997-11-24,8.351415955336359,7.489967311416084,9.29744560351111,8.069234,1997-11-20
1997-11-25,8.609522900428482,7.7166424646622005,9.505728616837226,7.840137,1997-11-20
1997-11-26,8.844829070166375,7.956810508496374,9.701638968243167,7.735873,1997-11-20
1997-11-27,8.807730120483058,7.887409684915042,9.729720431654432,7.450316,1997-11-20
1997-11-29,9.045476608541549,8.187343919445635,9.93873634488865,7.949922,1997-11-20
1997-11-30,9.115531220757351,8.221171508422806,9.973953802339619,8.069707,1997-11-20
1997-12-01,9.215312350280902,8.302701845739646,10.024688241889628,8.234987,1997-11-20
1997-12-02,9.270799491908589,8.365869848101354,10.208445769827422,8.190788,1997-11-20
1997-12-03,9.427582910771152,8.494889408977343,10.297967036733711,8.884077,1997-11-20
1997-12-04,9.550398926614521,8.598381987350749,10.4710282974736,8.317272,1997-11-20
1997-12-19,10.39260216001384,9.5682675905062,11.196417885127264,10.22339,1997-12-18
1997-12-20,10.24045666669904,9.430186688056114,11.186978995993448,10.582165,1997-12-18
1997-12-21,10.28146099179098,9.44073726445061,11.173108040949904,10.054161,1997-12-18
